,repo_id,forks,year_month,community
2850,336274588,66,2023-01,PaddleNLP
2851,204380779,42,2023-01,PaddleSeg
2852,65711522,41,2023-01,Paddle
2853,217475193,32,2023-01,PaddleDetection
2854,507861208,29,2023-01,FastDeploy
2857,162672577,17,2023-01,PaddleHub
2859,273214029,16,2023-01,PaddleGAN
2874,88868842,6,2023-01,models
2877,228290594,5,2023-01,PaddleSlim
2917,262296122,172,2023-02,PaddleOCR
2918,336274588,131,2023-02,PaddleNLP
2919,65711522,117,2023-02,Paddle
2921,217475193,65,2023-02,PaddleDetection
2922,507861208,50,2023-02,FastDeploy
2923,204380779,49,2023-02,PaddleSeg
2924,162672577,34,2023-02,PaddleHub
2929,273214029,21,2023-02,PaddleGAN
2940,88868842,9,2023-02,models
2945,228290594,8,2023-02,PaddleSlim
2990,262296122,184,2023-03,PaddleOCR
2991,336274588,179,2023-03,PaddleNLP
2992,65711522,134,2023-03,Paddle
2993,217475193,75,2023-03,PaddleDetection
2995,204380779,57,2023-03,PaddleSeg
2996,507861208,45,2023-03,FastDeploy
2998,162672577,33,2023-03,PaddleHub
3002,273214029,22,2023-03,PaddleGAN
3012,88868842,12,2023-03,models
3018,228290594,10,2023-03,PaddleSlim
3061,262296122,172,2023-04,PaddleOCR
3062,336274588,137,2023-04,PaddleNLP
3064,65711522,81,2023-04,Paddle
3065,204380779,73,2023-04,PaddleSeg
3066,217475193,70,2023-04,PaddleDetection
3068,162672577,39,2023-04,PaddleHub
3069,507861208,37,2023-04,FastDeploy
3071,273214029,28,2023-04,PaddleGAN
3092,228290594,6,2023-04,PaddleSlim
3100,88868842,5,2023-04,models
3137,262296122,121,2023-05,PaddleOCR
3138,336274588,70,2023-05,PaddleNLP
3140,217475193,50,2023-05,PaddleDetection
3141,65711522,48,2023-05,Paddle
3142,204380779,30,2023-05,PaddleSeg
3143,162672577,23,2023-05,PaddleHub
3144,273214029,19,2023-05,PaddleGAN
3149,507861208,12,2023-05,FastDeploy
3166,88868842,4,2023-05,models
3168,228290594,3,2023-05,PaddleSlim
3212,262296122,118,2023-06,PaddleOCR
3213,336274588,63,2023-06,PaddleNLP
3214,65711522,49,2023-06,Paddle
3215,217475193,43,2023-06,PaddleDetection
